Date,Open,High,Low,Close,Volume,Adj Close
2018-10-12,154.699997,158.350006,154.050003,157.399994,6089606,149.926102
2018-10-15,158.949997,160.899994,156.649994,160.149994,4679911,152.545502
2018-10-16,161.949997,167.199997,161.100006,165.600006,8912396,157.736725
2018-10-17,166.600006,167.300003,160.550003,162.100006,5347724,154.402908
2018-10-19,162.5,163.75,157,160.449997,7258192,152.831268
2018-10-22,161,161.800003,155.25,155.949997,5476435,148.544952
2018-10-23,155.350006,157.399994,150.899994,155.399994,8239765,148.021057
2018-10-24,157.949997,159.699997,153.600006,157.75,8342857,150.259476
2018-10-25,157,162.800003,153.050003,155.350006,32100452,147.973434
2018-10-26,156,156.800003,149.649994,151.800003,9427229,144.59201
2018-10-29,152.5,155.75,150.600006,154.899994,5954637,147.544785
2018-10-30,155,155,152.100006,152.949997,4156028,145.687378
2018-10-31,154,155,151.399994,153.25,7562821,145.973145
2018-11-01,155.5,155.800003,153.350006,154.25,5220182,146.925659
2018-11-02,155.5,158.449997,155.100006,157.350006,7789972,149.878464
2018-11-05,165,165,154.199997,154.949997,15261029,147.592407
2018-11-06,155.949997,158.199997,153.800003,156.050003,7749980,148.640198
2018-11-07,157.550003,157.850006,156.600006,157,491522,149.54509
2018-11-09,158,158,155.149994,156.399994,6478458,148.973557
2018-11-12,156.949997,158.399994,155.350006,156.050003,4686739,148.640198
2018-11-13,156.050003,158,155.699997,156.5,5499274,149.068832
2018-11-14,157.699997,163.899994,157.25,161,15008061,153.355164
2018-11-15,161.399994,162,158.100006,158.850006,3468318,151.307236
2018-11-16,158,158,152.800003,156.350006,7515249,148.925949
2018-11-19,156,156.5,153.100006,154.550003,4614296,147.211426
2018-11-20,154.550003,155.800003,152.649994,153.100006,5480470,145.830276
2018-11-21,155,155.5,151.300003,151.75,4573137,144.544373
2018-11-22,152.5,154.300003,151.649994,152.25,4477092,145.02063
2018-11-26,153,153.600006,145.100006,146.600006,8093330,139.638901
2018-11-27,147.399994,147.850006,144.25,146.100006,9231112,139.162659
2018-11-28,146.800003,148.199997,142.050003,142.800003,14201939,136.019333
2018-11-29,143.899994,143.899994,137.649994,140.600006,28991042,133.923828
2018-11-30,141.600006,143.699997,138.5,140.300003,23675557,133.638062
2018-12-03,140.949997,143,140.199997,142.5,8371191,135.733597
2018-12-04,142.600006,147.949997,142.399994,146.149994,9753442,139.210266
2018-12-05,145.949997,148.100006,142.399994,143.699997,9774733,136.876602
2018-12-06,142.600006,142.600006,138.5,140.149994,5771659,133.495163
2018-12-07,140.199997,141.449997,138.050003,139.399994,10571838,132.780777
